订单号,产品编码,产品名称,订单金额,退款金额,折让金额,提供方ID,提供方名称,渠道方ID,渠道方名称,服务方ID,服务方名称,下单时间,订单状态
ORD20260501001,DATA001,企业信用画像数据集,10000.00,0,0,PROV001,中证数据服务有限公司,CHN001,大数据交易平台,SRV001,数联科技服务,2026-05-01 10:23:45,已确认
ORD20260501002,DATA002,金融风控评分模型,25000.00,500.00,0,PROV002,联合征信服务,CHN001,大数据交易平台,SRV001,数联科技服务,2026-05-02 14:30:12,已确认
ORD20260501003,DATA001,企业信用画像数据集,8000.00,0,200.00,PROV001,中证数据服务有限公司,CHN002,政企数据共享门户,SRV002,智慧数据运营,2026-05-03 09:15:33,已确认
ORD20260501004,DATA003,消费者行为洞察报告,15000.00,0,0,PROV003,汇智数据研究院,CHN001,大数据交易平台,SRV001,数联科技服务,2026-05-04 16:45:20,已确认
ORD20260501005,DATA002,金融风控评分模型,30000.00,0,0,PROV002,联合征信服务,CHN003,金融数据服务网,SRV002,智慧数据运营,2026-05-05 11:20:55,已确认
ORD20260501006,DATA001,企业信用画像数据集,5000.00,0,0,PROV001,中证数据服务有限公司,CHN002,政企数据共享门户,SRV001,数联科技服务,2026-05-06 08:50:10,已确认
ORD20260501007,DATA004,物流轨迹数据集,12000.00,0,0,PROV004,物联数据科技,CHN001,大数据交易平台,SRV002,智慧数据运营,2026-05-07 13:12:40,已确认
ORD20260501008,DATA003,消费者行为洞察报告,20000.00,1000.00,500.00,PROV003,汇智数据研究院,CHN003,金融数据服务网,SRV001,数联科技服务,2026-05-08 15:30:00,已确认
ORD20260501009,DATA001,企业信用画像数据集,7500.00,0,0,PROV001,中证数据服务有限公司,CHN001,大数据交易平台,SRV002,智慧数据运营,2026-05-09 10:05:18,已确认
ORD20260501010,DATA005,医疗影像标注数据,50000.00,0,0,PROV005,智慧医疗数据中心,,渠道方缺失,SRV001,数联科技服务,2026-05-10 17:22:33,已确认
ORD20260501011,DATA002,金融风控评分模型,0,0,0,PROV002,联合征信服务,CHN001,大数据交易平台,SRV001,数联科技服务,2026-05-11 09:45:00,已取消
ORD20260501012,DATA003,消费者行为洞察报告,35000.00,35000.00,0,PROV003,汇智数据研究院,CHN002,政企数据共享门户,SRV002,智慧数据运营,2026-05-12 14:20:15,已退款
ORD20260501013,DATA001,企业信用画像数据集,22000.00,0,0,PROV001,中证数据服务有限公司,CHN003,金融数据服务网,SRV001,数联科技服务,2026-05-13 11:55:40,已确认
ORD20260501014,DATA006,政务开放数据集,18000.00,0,0,PROV006,政务数据服务局,CHN002,政企数据共享门户,SRV002,智慧数据运营,2026-05-14 16:10:25,已确认
ORD20260501015,DATA002,金融风控评分模型,45000.00,0,1000.00,PROV002,联合征信服务,CHN001,大数据交易平台,SRV002,智慧数据运营,2026-05-15 13:40:50,已确认
